ticker,date,transaction_type,quantity,price
AAPL,2022-01-10,Buy,20,174.78
MSFT,2022-01-15,Buy,10,309.05
GOOGL,2022-02-01,Buy,5,2850.00
NVDA,2022-03-05,Buy,8,245.00
TSLA,2022-04-10,Buy,6,1008.78
AAPL,2022-06-15,Buy,10,135.87
AMZN,2022-07-01,Buy,15,116.67
MSFT,2022-08-10,Sell,5,285.00
NVDA,2022-09-01,Buy,12,138.47
AAPL,2022-11-15,Sell,5,150.23
TSLA,2023-01-20,Buy,4,143.75
GOOGL,2023-02-10,Sell,2,95.89
META,2023-03-01,Buy,8,186.73
NVDA,2023-05-25,Buy,6,389.46
AAPL,2023-06-10,Buy,5,180.57
MSFT,2023-07-15,Buy,8,338.37
AMZN,2023-08-01,Sell,5,131.20
TSLA,2023-09-10,Sell,3,248.50
META,2023-10-05,Buy,5,308.67
NVDA,2023-11-20,Buy,4,494.11
GOOGL,2024-01-15,Buy,8,140.52
AAPL,2024-02-20,Sell,8,182.32
MSFT,2024-03-10,Buy,5,415.25
AMZN,2024-04-05,Buy,10,183.73
META,2024-05-15,Sell,3,460.12
NVDA,2024-06-20,Buy,3,125.61
TSLA,2024-07-10,Buy,5,232.10
GOOGL,2024-08-15,Buy,6,165.11
MSFT,2024-09-01,Sell,3,431.95
AAPL,2024-10-15,Buy,12,228.87
